outcome	term	estimate_mixed	pvalue_mixed	qvalue_mixed	model_family_mixed	estimate_cluster	pvalue_cluster	qvalue_cluster	model_family_cluster	same_direction	estimate_shift
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.3856495946588379	0.1761286842865738	0.44451525081849574	mixedlm	0.9511403581382724	0.582730552655609	0.8864238625232047	cluster_ols	True	0.4345092365205655
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.4247305387701046	0.060171658502458154	0.19931861878939264	mixedlm	0.02955255269526841	0.9817004040289591	0.9817004040289591	cluster_ols	False	-1.454283091465373
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.7765999034649149	0.4053613653205327	0.6930371729673623	mixedlm	-0.4218001604155131	0.7349916060776993	0.9079308075077462	cluster_ols	True	-0.3547997430494018
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-2.397296708997544	0.02923673699126955	0.1393507063261165	mixedlm	-3.7105371964712193	0.00530321369060288	0.03181928214361728	cluster_ols	True	1.3132404874736752
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.7953948270283275	0.44213734948900996	0.7322899850911728	mixedlm	-1.4657156532096174	0.2495821666692314	0.6551531875067325	cluster_ols	False	2.261110480237945
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.5750792748210276	0.28490739419214317	0.6291704955076495	mixedlm	-1.5924353252837005	0.4639911784941204	0.8629227696488453	cluster_ols	True	0.017356050462672856
Corynebacterium striatum	Intercept	7.267336184059546	0.00321987772705709	0.024379074219146542	mixedlm					False	
Corynebacterium striatum	log10_bacterial_reads	-0.10563803235885616	0.7739919352895271	0.9073959790210584	mixedlm	-0.2558713784680583	0.6418987280169719	0.8866985412390894	cluster_ols	True	0.15023334610920214
Corynebacterium striatum	years_since_first_sample	-0.6641266969512101	0.28088657087279	0.6291704955076495	mixedlm					False	
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.head_neck]	1.943181855384214	0.011305305568622522	0.05991811951369937	mixedlm	2.1462460893472013	0.00329210325840108	0.027653667370569072	cluster_ols	True	-0.20306423396298734
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.5652116900786752	0.3933265201675412	0.6930371729673623	mixedlm	-0.6886614250315487	0.3390308771968794	0.7360735620139698	cluster_ols	True	0.12344973495287348
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.7186580638680665	0.3385533963537781	0.6901280771827015	mixedlm	0.6529496089696247	0.5108631815006446	0.8629227696488453	cluster_ols	True	0.06570845489844179
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.1859171251095386	0.057228015797476446	0.19931861878939264	mixedlm	1.3748315092111523	0.08152806069437278	0.31128895901487785	cluster_ols	True	-0.18891438410161365
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.9615100717476187	0.16821258962131247	0.44451525081849574	mixedlm	0.9984504279948414	0.054588376764410036	0.22927118241052216	cluster_ols	True	-0.036940356247222694
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.2929008331669141	0.8252792836546133	0.9073959790210584	mixedlm	0.437326665275407	0.6755798409440681	0.8866985412390894	cluster_ols	True	-0.14442583210849286
Cutibacterium acnes	Intercept	5.305983222566417	0.006179331941934751	0.037067494293228684	mixedlm					False	
Cutibacterium acnes	log10_bacterial_reads	-0.15782541511057274	0.5871924718843999	0.8189789739440315	mixedlm	-0.20241864198963389	0.5742310162537794	0.8864238625232047	cluster_ols	True	0.04459322687906114
Cutibacterium acnes	years_since_first_sample	-0.423149328314013	0.3682574821699619	0.6930371729673623	mixedlm					False	
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-1.7137143743106997	0.296859917457426	0.6293430250097432	mixedlm	-2.1218010740139768	0.04041407498205338	0.18859901658291578	cluster_ols	True	0.40808669970327704
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.5853655679003207	0.47970806943910516	0.734400447699981	mixedlm	-0.4727706614342982	0.707457098829984	0.9003999439654342	cluster_ols	True	-0.11259490646602249
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.5883165860862725	0.7006473982496655	0.9005283037757961	mixedlm	1.4106346624924393	0.4479660203900512	0.8629227696488453	cluster_ols	False	-1.9989512485787118
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.025823105875210427	0.9851988174451869	0.9851988174451869	mixedlm	-0.7826144976204161	0.5136445057433603	0.8629227696488453	cluster_ols	False	0.8084376034956265
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.22901646825429672	0.8298267147266951	0.9073959790210584	mixedlm	-0.052322885074891	0.97092575209494	0.9817004040289591	cluster_ols	True	-0.17669358317940573
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.mixed]	3.025263764664246	0.04553589857046279	0.18564635571034832	mixedlm	2.546908714003123	0.24047564871181804	0.6551531875067325	cluster_ols	True	0.47835505066112294
Klebsiella pneumoniae	Intercept	-4.099794179186723	0.12987327934002835	0.38240465583452793	mixedlm					False	
Klebsiella pneumoniae	log10_bacterial_reads	1.5740206079881893	5.845339106254974e-05	0.0010326765754383788	mixedlm	1.5467489029837638	0.010214105922069042	0.053624056090862474	cluster_ols	True	0.02727170500442555
Klebsiella pneumoniae	years_since_first_sample	2.138063667101402	0.0009346714493857754	0.00825626446957435	mixedlm					False	
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.3820445331364243	0.6533205871006034	0.8878459260597944	mixedlm	-0.5062315311748573	0.481982508865048	0.8629227696488453	cluster_ols	True	0.12418699803843303
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.2614436479552676	0.7093577613497554	0.9005283037757961	mixedlm	0.3332069656917955	0.6548494368979055	0.8866985412390894	cluster_ols	True	-0.07176331773652789
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.0879768600195219	0.1534365337834975	0.4280071731855457	mixedlm	0.7274254749977535	0.2786012327160783	0.6805450819297468	cluster_ols	True	0.3605513850217684
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.00848077446638372			mixedlm	-0.10672508621153654	0.9241949106260487	0.9817004040289591	cluster_ols	True	0.09824431174515282
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	2.943394295243277	0.00029416922769471345	0.0038977422669549534	mixedlm	2.7109064536695633	0.00017749203353933037	0.007454665408651876	cluster_ols	True	0.23248784157371372
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.mixed]	1.6097399715058731	0.2834658742143693	0.6291704955076495	mixedlm	1.2352372196378778	0.35051122000665225	0.7360735620139698	cluster_ols	True	0.3745027518679953
Pseudomonas aeruginosa	Intercept	1.6360133339170657	0.3605731924867529	0.6930371729673623	mixedlm					False	
Pseudomonas aeruginosa	log10_bacterial_reads	1.2936153021028762	5.4734597136108345e-06	0.00014504668241068712	mixedlm	1.1951499080939088	0.004331300095615042	0.030319100669305293	cluster_ols	True	0.09846539400896748
Pseudomonas aeruginosa	years_since_first_sample	-0.09740221492952973	0.8389132636232427	0.9073959790210584	mixedlm					False	
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.8187050437076134	0.3793567724992496	0.6930371729673623	mixedlm	-0.24798023342284226	0.8434526673775817	0.9817004040289591	cluster_ols	True	-0.5707248102847712
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-1.4771179367163305	0.006294480163001097	0.037067494293228684	mixedlm	-0.968339625932813	0.29166217796989147	0.6805450819297468	cluster_ols	True	-0.5087783107835175
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.20023577758555478	0.82237513966076	0.9073959790210584	mixedlm	-0.043567130556152016	0.963627459481335	0.9817004040289591	cluster_ols	True	-0.15666864702940275
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.6665659353903263	0.4849814277264025	0.734400447699981	mixedlm	-3.145463522061274	0.0011568256177551506	0.024293337972858164	cluster_ols	True	2.4788975866709477
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.151652692914603	0.8094816863707603	0.9073959790210584	mixedlm	-2.137942006385943	0.1193871296407546	0.4178549537426411	cluster_ols	True	1.9862893134713402
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.mixed]	-2.1552924687123913	0.09943742377027066	0.31001079175437324	mixedlm	-1.6314527592323944	0.18081058297523045	0.5424317489256913	cluster_ols	True	-0.5238397094799969
Serratia marcescens	Intercept	0.794899735573993	0.7273599244296662	0.9005283037757961	mixedlm					False	
Serratia marcescens	log10_bacterial_reads	1.1897890802524596	0.00045942505392038857	0.004869905571556118	mixedlm	0.6945233879342112	0.1509249508908241	0.48760368749343175	cluster_ols	True	0.49526569231824835
Serratia marcescens	years_since_first_sample	1.0392838171909609	0.050276222592727855	0.19033141410104118	mixedlm					False	
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.0689541236208133	0.03155110331912072	0.1393507063261165	mixedlm	2.8456726988245387	0.0023703534594583372	0.02708280924914416	cluster_ols	True	-0.7767185752037253
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.2524420290478849	0.7306173030633818	0.9005283037757961	mixedlm	-0.25862732677912115	0.8363401140642744	0.9817004040289591	cluster_ols	True	0.006185297731236272
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.035780378562776015	0.9664719861513913	0.9850579858850719	mixedlm	0.029978882762654986	0.9753685761026342	0.9817004040289591	cluster_ols	False	-0.065759261325431
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.5639030600535708	0.5004161213213267	0.7367237341675088	mixedlm	0.4879818918447989	0.6396371912437111	0.8866985412390894	cluster_ols	True	0.07592116820877193
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.5629171991213571	0.52616511682844	0.7536959781596574	mixedlm	-0.43040497738216005	0.5909492416821365	0.8864238625232047	cluster_ols	True	-0.13251222173919702
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.mixed]	-0.28013937199006533	0.8711794833967121	0.9234502524005148	mixedlm	0.23376155052869652	0.895330792226753	0.9817004040289591	cluster_ols	False	-0.5139009225187618
Staphylococcus aureus	Intercept	1.3328956033331785	0.48336808853331803	0.734400447699981	mixedlm					False	
Staphylococcus aureus	log10_bacterial_reads	1.5483859779964213	1.5755153439540112e-06	8.35023132295626e-05	mixedlm	1.2090596874371913	0.002579315166585158	0.02708280924914416	cluster_ols	True	0.33932629055923
Staphylococcus aureus	years_since_first_sample	-0.027797702801844838	0.9518432101895954	0.9850579858850719	mixedlm					False	
host_logit	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.6968073753618481	0.5076727963207543	0.8741448109350641	mixedlm	1.077515689002806	0.5025318984308782	0.7537978476463173	cluster_ols	True	-0.3807083136409578
host_logit	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.750808650310378	0.45227669645634605	0.8741448109350641	mixedlm	1.077515689002806	0.5025318984308782	0.7537978476463173	cluster_ols	True	-0.3267070386924279
host_logit	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.27119551700726036	0.7104341921986744	0.8741448109350641	mixedlm	0.12094288618146204	0.913490161510836	0.9696664266274952	cluster_ols	True	0.15025263082579832
host_logit	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.6962959755935566	0.3620285701406851	0.8741448109350641	mixedlm	0.12094288618146204	0.913490161510836	0.9696664266274952	cluster_ols	True	0.5753530894120946
host_logit	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.3591676004963082	0.07182423625703485	0.35912118128517423	mixedlm	1.1148371248095867	0.1983569603822649	0.7537978476463173	cluster_ols	True	0.2443304756867215
host_logit	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.3377995744556708	0.0646328521475017	0.35912118128517423	mixedlm	1.1148371248095867	0.1983569603822649	0.7537978476463173	cluster_ols	True	0.22296244964608403
host_logit	C(chronicity_group, Treatment('unknown'))[T.acute_like]	2.320591990376104	0.028426565851166555	0.35912118128517423	mixedlm	1.6764129352869044	0.4071876437826287	0.7537978476463173	cluster_ols	True	0.6441790550891997
host_logit	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	0.6886163391138158	0.5271581501647837	0.8741448109350641	mixedlm	1.741495254001351	0.3210471060794726	0.7537978476463173	cluster_ols	True	-1.0528789148875353
host_logit	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.013973274661125606	0.9943153859006285	0.9943153859006285	mixedlm	0.20938368257057619	0.7535333843872556	0.9688286370693286	cluster_ols	True	-0.19541040790945058
host_logit	C(culture_positive_label, Treatment('negative'))[T.positive]	0.7729493576995302	0.4901000321377329	0.8741448109350641	mixedlm	-0.043979257055314386	0.9696664266274952	0.9696664266274952	cluster_ols	False	0.8169286147548446
host_logit	C(culture_positive_label, Treatment('negative'))[T.positive]	0.2589369434613015	0.8158684902060599	0.8741448109350641	mixedlm	-0.043979257055314386	0.9696664266274952	0.9696664266274952	cluster_ols	False	0.30291620051661594
host_logit	Intercept	1.2101271828035833	0.34366708007149704	0.8741448109350641	mixedlm	0.8833264457476699	0.44500545144344084	0.7537978476463173	cluster_ols	True	0.3268007370559134
host_logit	Intercept	0.3882216149573286	0.7647768487844793	0.8741448109350641	mixedlm	0.8833264457476699	0.44500545144344084	0.7537978476463173	cluster_ols	True	-0.49510483079034134
host_logit	years_since_first_sample	0.2364924361790866	0.7188490630152806	0.8741448109350641	mixedlm	-2.5078600125438126	0.00035075888926947496	0.0031568300034252746	cluster_ols	False	2.7443524487228994
host_logit	years_since_first_sample	0.1856644892441645	0.779989980585797	0.8741448109350641	mixedlm	-2.5078600125438126	0.00035075888926947496	0.0031568300034252746	cluster_ols	False	2.693524501787977
