species	term	estimate_bracken	conf_low_bracken	conf_high_bracken	pvalue_bracken	prevalence_bracken	qvalue_bracken	estimate_metaphlan	conf_low_metaphlan	conf_high_metaphlan	pvalue_metaphlan	prevalence_metaphlan	qvalue_metaphlan	same_direction	term_label
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.9539319451911525	-2.429860914898513	4.337724805280819	0.5805801880068366	0.9166666666666666	0.8530623383705567	-3.229054425416375	-9.00737248613706	2.549263635304309	0.27339746028564793	0.4166666666666667	0.6379274073331785	False	Head / neck vs lower extremity
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.03161847112291105	-2.488279137340621	2.5515160795864436	0.9803798488286128	0.9166666666666666	0.9803798488286128	-2.998969862763775	-7.112573349347194	1.1146336238196444	0.15303682792739587	0.4166666666666667	0.4143148704690287	False	Trunk / perineum vs lower extremity
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.4893767463258452	-2.9504222764832555	1.9716687838315652	0.696730944750412	0.9166666666666666	0.8709136809380149	-5.185619577618377	-9.099209680769174	-1.2720294744675789	0.009403953774257026	0.4166666666666667	0.04114229776237449	True	Upper extremity vs lower extremity
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-3.7284407222145948	-6.346383945850169	-1.11049749857902	0.005248783038835282	0.9166666666666666	0.02624391519417641	-9.023970558629928	-14.166430319624027	-3.88151079763583	0.0005831386657063816	0.4166666666666667	0.008717303437704162	True	Acute-like vs unknown
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-1.4521429846093241	-3.9549418000020546	1.0506558307834064	0.25546050878165383	0.9166666666666666	0.6386512719541345	-4.653629403552918	-8.621565567199198	-0.6856932399066369	0.021524111995882243	0.4166666666666667	0.08370487998398651	True	Chronic-like vs unknown
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.5718003752192624	-5.817187306669288	2.673586556230763	0.4680523354620769	0.9166666666666666	0.8530623383705567	-6.350395942182184	-15.079114914777534	2.378323030413167	0.15388838045992495	0.4166666666666667	0.4143148704690287	True	Mixed vs unknown
Corynebacterium striatum	log10_bacterial_reads	-0.24388770520410727	-1.3239675315925246	0.83619212118431	0.6580766610287152	0.9166666666666666	0.8530623383705567	-0.3742781488577361	-2.8596646365894687	2.111108338873996	0.7678762620261412	0.4166666666666667	0.8236195827387562	True	Per log10 bacterial reads
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.149971975068248	0.7041623130681423	3.595781637068354	0.0035621509344317976	0.95	0.02521884874315848	2.4510114089469033	-2.6197992476221197	7.521822065515926	0.34345427110543525	0.1	0.6403329071904107	True	Head / neck vs lower extremity
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.6859342531588852	-2.084789749218807	0.7129212429010368	0.33651396060605043	0.95	0.7220856338452595	-0.42375123097823275	-2.640946066264288	1.7934436043078223	0.707966036005294	0.1	0.7993164922640416	True	Trunk / perineum vs lower extremity
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.5517636756176417	-1.4344286010804108	2.5379559523156945	0.5861129528302474	0.95	0.8530623383705567	1.3338577438818149	-2.0012062147775036	4.668921702541134	0.4331064435890811	0.1	0.6789366235218642	True	Upper extremity vs lower extremity
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.acute_like]	1.3477428561970004	-0.2610627963166856	2.9565485087106866	0.10060693466746853	0.95	0.39124919037348876	5.4616231031001625	1.5350671854645839	9.388179020735741	0.006406777676334525	0.1	0.03737286977861806	True	Acute-like vs unknown
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	1.018429176983548	0.006118156512361139	2.030740197454735	0.048631355131170347	0.95	0.21276217869887026	1.4320261518636763	-0.23584169128451782	3.0998939950118705	0.0924101372934583	0.1	0.3234354805271041	True	Chronic-like vs unknown
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.46783980913701473	-1.537125176490611	2.4728047947646408	0.6474272244520458	0.95	0.8530623383705567	-0.799974636008149	-2.4693319743741666	0.8693827023578686	0.34760929247479433	0.1	0.6403329071904107	False	Mixed vs unknown
Cutibacterium acnes	log10_bacterial_reads	-0.1841457846231489	-0.8773211533866575	0.5090295841403597	0.6025931720529276	0.95	0.8530623383705567	0.025949786403565572	-1.0815613581292305	1.1334609309363617	0.9633713253241009	0.1	0.9917057760689274	False	Per log10 bacterial reads
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.5080087389992844	-1.9098264090515131	0.8938089310529442	0.47753238717635815	1.0	0.8530623383705567	-2.5282395796903563	-8.702221912026337	3.6457427526456243	0.42220406726249515	0.7166666666666667	0.6789366235218642	True	Head / neck vs lower extremity
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.3320393021235253	-1.135227785999337	1.7993063902463875	0.6573784317716087	1.0	0.8530623383705567	1.81798994334999	-1.8541554575129235	5.490135344212904	0.3318817613701883	0.7166666666666667	0.6403329071904107	True	Trunk / perineum vs lower extremity
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.8242012740937834	-0.5488160417045749	2.1972185898921417	0.239380606328088	1.0	0.6386512719541345	3.26972030534691	-1.6986583702881513	8.23809898098197	0.19709779496849933	0.7166666666666667	0.4927444874212483	True	Upper extremity vs lower extremity
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.07971260826989979	-2.320625142643192	2.161199926103393	0.9444174394099736	1.0	0.9721944229220316	-1.7499222929400162	-8.70441737030415	5.2045727844241165	0.6218887823084334	0.7166666666666667	0.7505554269239713	True	Acute-like vs unknown
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	2.6931528791106567	1.2504336677660892	4.135872090455225	0.00025349384869697824	1.0	0.008872284704394238	4.845920072970754	1.2763171167537237	8.415523029187785	0.0077966320290512	0.7166666666666667	0.038983160145256	True	Chronic-like vs unknown
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.mixed]	1.2075670155205114	-1.3286952052177734	3.7438292362587964	0.35072730786769746	1.0	0.7220856338452595	-0.011678236557169708	-6.4253543314409995	6.401997858326661	0.9971525410259433	0.7166666666666667	0.9971525410259433	False	Mixed vs unknown
Pseudomonas aeruginosa	log10_bacterial_reads	1.176378970344085	0.3764483596468913	1.9763095810412787	0.003947516899285957	1.0	0.02521884874315848	0.8336147578121189	-1.6060299898199524	3.27325950544419	0.5030425663525333	0.7166666666666667	0.7220650755595132	True	Per log10 bacterial reads
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.24455488375120227	-2.6932217941818215	2.2041120266794167	0.8448083350752442	0.9666666666666667	0.9612807345134627	0.6543029029685101	-3.8642407019960467	5.172846507933067	0.7765556065822559	0.3	0.8236195827387562	False	Head / neck vs lower extremity
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.965825159595108	-2.770877464791854	0.839227145601638	0.2943100481109926	0.9666666666666667	0.6867234455923161	-1.057337839831695	-4.555141322829038	2.4404656431656484	0.5535358167354242	0.3	0.7220650755595132	True	Trunk / perineum vs lower extremity
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.13394193803661447	-2.1060297056083916	1.8381458295351625	0.8940996608296339	0.9666666666666667	0.9719975503304059	-0.9413488228720723	-2.893247527685002	1.0105498819408576	0.3445371318014733	0.3	0.6403329071904107	True	Upper extremity vs lower extremity
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-3.1695975932513525	-5.0611487217925495	-1.2780464647101553	0.0010225986381954323	0.9666666666666667	0.017895476168420067	-6.329594827266492	-10.009034688115918	-2.650154966417067	0.0007471974375174997	0.3	0.008717303437704162	True	Acute-like vs unknown
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-2.120023902625248	-4.829287164399676	0.5892393591491798	0.12510588750067628	0.9666666666666667	0.437870606252367	-4.964929654964041	-8.479320351272444	-1.4505389586556388	0.005624162679198008	0.3	0.03737286977861806	True	Chronic-like vs unknown
Serratia marcescens	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.6041171360504145	-4.009359350960038	0.8011250788592084	0.1911618501661667	0.9666666666666667	0.5575553963179862	1.7740249802727195	-3.9857056975603555	7.533755658105795	0.5460574695499092	0.3	0.7220650755595132	False	Mixed vs unknown
Serratia marcescens	log10_bacterial_reads	0.7107732021255867	-0.2485568014763443	1.6701032057275178	0.1464602459038017	0.9666666666666667	0.4660098733302781	2.466671332020122	0.7680908432852016	4.165251820755042	0.004423726514131507	0.3	0.03737286977861806	True	Per log10 bacterial reads
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.head_neck]	2.842347465755256	1.0019329383893925	4.682761993121119	0.0024700999092333964	1.0	0.02521884874315848	7.242562476908736	3.1235636440312016	11.361561309786271	0.000568392632810389	0.6833333333333333	0.008717303437704162	True	Head / neck vs lower extremity
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.2608906111172926	-2.6963316570352234	2.174550434800638	0.833701776862441	1.0	0.9612807345134627	-1.6446141425548193	-9.4617174832936	6.172489198183961	0.6800827250272784	0.6833333333333333	0.7934298458651582	True	Trunk / perineum vs lower extremity
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.18244149815810817	-1.7266121777341383	2.0914951740503547	0.8514200791404956	1.0	0.9612807345134627	2.0743831837194984	-3.2623565531780905	7.411122920617087	0.4461583526000822	0.6833333333333333	0.6789366235218642	True	Upper extremity vs lower extremity
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.5302130673795111	-1.5004717189827441	2.5608978537417664	0.6088275124389289	1.0	0.8530623383705567	1.4334361220169616	-3.626890052811925	6.493762296845848	0.578759209508134	0.6833333333333333	0.7234490118851674	True	Acute-like vs unknown
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.458772689047072	-2.0391510139296503	1.1216056358355062	0.569380753822385	1.0	0.8530623383705567	0.9499595753742489	-2.2204441288568777	4.1203632796053755	0.5570216297173387	0.6833333333333333	0.7220650755595132	False	Chronic-like vs unknown
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.18972431743798335	-3.355093353930496	3.734541988806463	0.9164548331686684	1.0	0.9719975503304059	2.062676186072107	-3.1317165180980284	7.257068890242242	0.4363949900720372	0.6833333333333333	0.6789366235218642	True	Mixed vs unknown
Staphylococcus aureus	log10_bacterial_reads	1.1798682962584957	0.3694773939890228	1.9902591985279685	0.004323231213112883	1.0	0.02521884874315848	1.9398343670238587	-0.46617449211938267	4.3458432261671	0.11405818907513215	0.6833333333333333	0.3629124197845114	True	Per log10 bacterial reads
