cluster_rank	metadata_features	microbiome_features	best_adjusted_pvalue	metadata_size	microbiome_size
1	culture_klebsiella_spp	Pantoea sp. GABEPS69;Metapseudomonas otitidis;Xanthomonas citri;Ectopseudomonas oleovorans	8.045481569574572e-11	1	4
2	host_removed_fraction;log10_bacterial_reads	Cutibacterium acnes;Gordonia sp. w5E2;Gordonia bronchialis	9.801208126375084e-07	2	3
3	host_removed_fraction;log10_bacterial_reads	Serratia inhibens;Serratia odorifera;Serratia aquatilis;Serratia nevei;Serratia grimesii;Serratia quinivorans;Serratia sp. 1D1416;Serratia sp. NGAS9;Serratia rhizosphaerae;Serratia sp. SCBI;Serratia proteamaculans;Serratia plymuthica;Serratia rubidaea;Serratia liquefaciens;Serratia fonticola;Serratia symbiotica	1.0618815344572162e-06	2	16
4	host_removed_fraction;log10_bacterial_reads	Klebsiella michiganensis;Salmonella enterica;Klebsiella variicola;Klebsiella quasipneumoniae;Citrobacter freundii;Citrobacter koseri	1.5746213260133952e-06	2	6
5	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. PDNC002;Pseudomonas paraeruginosa;Pseudomonas citronellolis;Pseudomonas sp. ATCC 13867;Pseudomonas sp. GCEP-101	1.5746213260133952e-06	3	5
6	host_removed_fraction;log10_bacterial_reads	Serratia sp. UGAL515B_01;Serratia sp. FGI94;Serratia sp. JSRIV001;Serratia sp. HRI;Serratia sarumanii;Serratia sp. JSRIV002;Serratia sp. szju;Serratia sp. P2ACOL2;Serratia sp. Tan611;Serratia sp. JKS000199;Serratia nematodiphila;Serratia sp. SSNIH1;Serratia sp. LS-1;Serratia sp. CMO1;Serratia sp. 3ACOL1;Serratia ficaria	9.645942023891632e-06	2	16
7	culture_klebsiella_spp	Escherichia albertii;Klebsiella grimontii;Enterobacter roggenkampii;Enterobacter kobei;Raoultella ornithinolytica;Klebsiella aerogenes;Enterobacter cloacae;Erwinia tracheiphila;Raoultella planticola;Jejubacter calystegiae;Yokenella regensburgei;Klebsiella electrica;Klebsiella pasteurii;Shigella boydii;Klebsiella huaxiensis;Klebsiella africana;Klebsiella quasivariicola	9.859918701504013e-06	1	17
8	host_removed_fraction;log10_bacterial_reads	Serratia entomophila	1.6261745669798527e-05	2	1
9	culture_klebsiella_spp	Pseudomonas sp. LTJR-52;Pseudomonas sp. 02C 26;Pseudomonas allokribbensis;Pseudomonas libanensis;Pseudomonas juntendi;Pseudomonas lactis	1.8909663402181985e-05	1	6
10	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas viridiflava;Pseudomonas sp. PS1(2021);Pseudomonas sp. MTM4;Pseudomonas cavernae;Pseudomonas sp. AN-1;Pseudomonas sp. SCB32;Pseudomonas sp. LS44;Pseudomonas sp. QE6;Pseudomonas sp. C9-3;Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001;Pseudomonas vanderleydeniana;Pseudomonas sp. J452;Pseudomonas sp. TCU-HL1;Pseudomonas solani	3.346375120894648e-05	3	14
11	chronicity_group_unknown;clinical_infection_flag_unknown	Serratia inhibens;Serratia odorifera;Serratia aquatilis;Serratia nevei;Serratia grimesii;Serratia quinivorans;Serratia sp. 1D1416;Serratia sp. NGAS9;Serratia rhizosphaerae;Serratia sp. SCBI;Serratia proteamaculans;Serratia plymuthica;Serratia rubidaea;Serratia liquefaciens;Serratia fonticola;Serratia symbiotica	0.000102006899959	2	16
12	host_removed_fraction;log10_bacterial_reads	Yersinia enterocolitica;Leclercia adecarboxylata;Enterobacter bugandensis;Enterobacter asburiae;Enterobacter ludwigii	0.0001180058088697	2	5
13	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas aeruginosa	0.0001805135150879	2	1
14	host_removed_fraction;log10_bacterial_reads	Klebsiella grimontii	0.0002559063952166	2	1
15	culture_p_aeruginosa	Pseudomonas sp. DR48;Pseudomonas sp. JDS08PS003;Pseudomonas lini;Pseudomonas thivervalensis;Pseudomonas sp. MYb327;Pseudomonas sp. ADAK13;Pseudomonas sp. URMO17WK12:I11	0.000278103896429	1	7
16	chronicity_group_unknown;clinical_infection_flag_unknown	Brevibacterium luteolum;Brevibacterium sp. CS2;Auritidibacter ignavus;Dermabacter jinjuensis;Alcaligenes faecalis;Streptococcus agalactiae;Pseudomonas sp. LM12	0.0003233162304944	2	7
17	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas brassicacearum	0.0003233162304944	3	1
18	culture_serratia_marcescens	Serratia sp. UGAL515B_01;Serratia sp. FGI94;Serratia sp. JSRIV001;Serratia sp. HRI;Serratia sarumanii;Serratia sp. JSRIV002;Serratia sp. szju;Serratia sp. P2ACOL2;Serratia sp. Tan611;Serratia sp. JKS000199;Serratia nematodiphila;Serratia sp. SSNIH1;Serratia sp. LS-1;Serratia sp. CMO1;Serratia sp. 3ACOL1;Serratia ficaria	0.0003349387301654	1	16
19	host_removed_fraction;log10_bacterial_reads	Atlantibacter hermannii;Pectobacterium brasiliense;Citrobacter werkmanii;Kosakonia cowanii;Cronobacter condimenti	0.0003604081154955	2	5
20	culture_klebsiella_spp	Pseudomonas zeae;Pseudomonas sp. Z003-0.4C(8344-21);Pseudomonas sp. JS3066;Pseudomonas benzopyrenica;Pseudomonas sp. PP3;Pseudomonas sp. JBR1;Pseudomonas laurylsulfatiphila;Pseudomonas sp. CYM-20-01;Pseudomonas grandcourensis;Pseudomonas sp. B21-053;Pseudomonas helvetica;Pseudomonas sp. FP1742;Pseudomonas tritici	0.0003931510850439	1	13
21	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. KHPS1	0.0003931510850439	2	1
22	culture_p_aeruginosa	Staphylococcus hominis;Staphylococcus epidermidis;Staphylococcus capitis	0.0003952478227477	1	3
23	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. FDAARGOS_761	0.0003961725587198	3	1
24	culture_klebsiella_spp	Pseudomonas sichuanensis;Pseudomonas sp. A34-9;Pseudomonas sp. DY-1	0.0004471125992043	1	3
25	body_region_head_neck	Brevibacterium sp. CS2;Auritidibacter ignavus	0.0004634799055335	1	2
26	body_region_head_neck	Acinetobacter indicus;Acinetobacter pittii;Acinetobacter sp. 8_A20231192;Acinetobacter johnsonii	0.0004702429494376	1	4
27	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. LPB0260;Pseudomonas sp. HLS-6;Pseudomonas sp. SL4(2022);Pseudomonas wenzhouensis	0.0004804190730822	2	4
28	culture_p_aeruginosa	Pseudomonas yamanorum;Pseudomonas sp. N3-W;Pseudomonas hamedanensis;Pseudomonas cedrina;Pseudomonas palleroniana;Pseudomonas mucidolens;Pseudomonas rhizosphaerae	0.0004806352259011	1	7
29	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas argentinensis;Pseudomonas eucalypticola;Pseudomonas sp. ABC1;Pseudomonas sp. StFLB209	0.0005427795196133	2	4
30	culture_klebsiella_spp	Pseudomonas beijingensis;Pseudomonas sp. stari2;Pseudomonas sp. LG1E9;Pseudomonas sp. R5-89-07;Pseudomonas congelans;Pseudomonas lijiangensis;Pseudomonas sp. HN11;Pseudomonas psychrophila;Pseudomonas sp. IzPS59;Pseudomonas sp. TMP25;Pseudomonas hormoni;Pseudomonas sp. AA-38;Pseudomonas sp. B33.4;Pseudomonas sp. Lz4W;Pseudomonas sp. CCOS 191;Pseudomonas sp. MRSN 12121;Pseudomonas sp. G2-4;Pseudomonas sp. SK3(2021)	0.000624606206641	1	18
31	culture_p_aeruginosa	Pseudomonas moraviensis	0.000624606206641	1	1
32	culture_p_aeruginosa	Pseudomonas sp. QL9;Pseudomonas sp. MM227;Pseudomonas oryzae;Pseudomonas indoloxydans;Pseudomonas anguilliseptica;Pseudomonas frederiksbergensis;Pseudomonas sp. L5B5;Pseudomonas tructae	0.0006977868855505	1	8
33	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas nitroreducens;Pseudomonas benzenivorans;Pseudomonas entomophila;Pseudomonas sp. SO81;Pseudomonas sp. 273;Pseudomonas protegens	0.0007854617126342	3	6
34	culture_s_aureus;culture_serratia_marcescens	Serratia marcescens;Serratia sp. FS14;Serratia sp. FDAARGOS_506;Serratia ureilytica;Serratia surfactantfaciens	0.0008030890549464	2	5
35	culture_p_aeruginosa	uncultured Pseudomonas sp.	0.0008153637444041	1	1
36	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas beijingensis	0.0009328297538824	2	1
37	culture_p_aeruginosa	Pseudomonas sp. NA-150;Pseudomonas asiatica;Pseudomonas baltica;Pseudomonas huanghezhanensis;Pseudomonas sp. G.S.17;Pseudomonas sp. LRP2-20	0.0009506646229904	1	6
38	host_removed_fraction;log10_bacterial_reads	Pseudomonas viridiflava;Pseudomonas sp. PS1(2021);Pseudomonas sp. MTM4;Pseudomonas cavernae;Pseudomonas sp. AN-1;Pseudomonas sp. SCB32;Pseudomonas sp. LS44;Pseudomonas sp. QE6;Pseudomonas sp. C9-3;Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001;Pseudomonas vanderleydeniana;Pseudomonas sp. J452;Pseudomonas sp. TCU-HL1;Pseudomonas solani	0.0010104752829931	2	14
39	host_removed_fraction;log10_bacterial_reads	Yersinia pestis	0.0010820005266571	2	1
40	culture_p_aeruginosa	Pseudomonas graminis;Pseudomonas caspiana;Pseudomonas prosekii	0.0010937165791562	1	3
41	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. Q1-7;Pseudomonas triclosanedens	0.0010942255839599	3	2
42	chronicity_group_unknown;clinical_infection_flag_unknown	Acinetobacter baumannii;Acinetobacter nosocomialis;Acinetobacter seifertii;Acinetobacter indicus;Acinetobacter pittii;Acinetobacter sp. 8_A20231192;Acinetobacter johnsonii	0.0011147404154609	2	7
43	culture_p_aeruginosa	Pseudomonas poae;Pseudomonas tohonis;Pseudomonas marginalis;Pseudomonas coleopterorum;Pseudomonas simiae	0.0012115281914769	1	5
44	culture_e_faecalis	Aeromonas caviae	0.0012315633657405	1	1
45	culture_p_aeruginosa	Pseudomonas sp. 7SR1;Pseudomonas sp. TUM22785;Pseudomonas sp. JQ170C	0.00145425430785	1	3
46	host_removed_fraction;log10_bacterial_reads	Pseudomonas sp. nanlin1;Pseudomonas xantholysinigenes;Pseudomonas sp. B11D7D;Pseudomonas cremoricolorata;Pseudomonas saudiphocaensis	0.0014955546259612	2	5
47	culture_serratia_marcescens	Atlantibacter hermannii;Pectobacterium brasiliense;Citrobacter werkmanii;Kosakonia cowanii;Cronobacter condimenti	0.001496694829378	1	5
48	host_removed_fraction;log10_bacterial_reads	Klebsiella aerogenes;Enterobacter cloacae	0.0015099177521901	2	2
49	culture_p_aeruginosa	Pseudomonas sp. R5-89-07;Pseudomonas congelans;Pseudomonas lijiangensis;Pseudomonas sp. HN11;Pseudomonas psychrophila	0.0015125061169616	1	5
50	culture_s_aureus	Staphylococcus aureus;Staphylococcus schweitzeri;Staphylococcus argenteus;Staphylococcus lugdunensis;Staphylococcus sp. MZ8;Staphylococcus sp. MZ9;Staphylococcus pasteuri;Staphylococcus simiae;Staphylococcus saccharolyticus;Staphylococcus felis	0.0015695636179928	1	10
51	culture_e_faecalis	Bordetella hinzii	0.0015940772922472	1	1
52	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas sp. KNUC1026;Pseudomonas pohangensis	0.0015940772922472	3	2
53	log10_bacterial_reads	Pseudomonas serboccidentalis;Pseudomonas sp. B21-056;Pseudomonas versuta	0.0017439193535866	1	3
54	culture_p_aeruginosa	Pseudomonas sp. MM211;Pseudomonas muyukensis;Pseudomonas sp. Ost2;Pseudomonas kielensis;Pseudomonas leptonychotis;Pseudomonas extremaustralis;Pseudomonas sp. M30-35;Pseudomonas abieticivorans	0.0017591363778097	1	8
55	chronicity_group_unknown;clinical_infection_flag_unknown	Serratia entomophila	0.0018650259281726	2	1
56	body_region_head_neck	Mammaliicoccus sciuri	0.0018814194492753	1	1
57	host_removed_fraction;log10_bacterial_reads	Pseudomonas sp. KNUC1026;Pseudomonas pohangensis	0.0018858039885589	2	2
58	culture_p_aeruginosa	Pseudomonas sp. Marseille-Q3773;Pseudomonas sp. PSE14;Pseudomonas agarici;Pseudomonas sp. LS1212;Pseudomonas xanthosomatis	0.0019215264796242	1	5
59	culture_klebsiella_spp	Pseudomonas sp. CBS;Pseudomonas sp. SGAir0191;Pseudomonas sp. TMP9;Pseudomonas gozinkensis;Pseudomonas monteilii;Pseudomonas antarctica;Pseudomonas sp. BW7P1;Pseudomonas sp. S35;Pseudomonas mediterranea;Pseudomonas ogarae;Pseudomonas sp. FP597;Pseudomonas asgharzadehiana;Pseudomonas sp. S09G 359;Pseudomonas sp. 10S4;Pseudomonas nunensis;Pseudomonas sp. D3;Pseudomonas kribbensis	0.0019561979847707	1	17
60	culture_p_aeruginosa	Pseudomonas sp. P8_241;Pseudomonas maumuensis	0.0020191036897082	1	2
61	culture_p_aeruginosa	Pseudomonas atacamensis;Pseudomonas sp. DC1.2;Pseudomonas sp. RtIB026;Pseudomonas sp. DG56-2;Pseudomonas inefficax	0.0020191036897082	1	5
62	culture_p_aeruginosa	Pseudomonas sp. FP198;Pseudomonas cichorii;Pseudomonas umsongensis;Pseudomonas sivasensis;Pseudomonas migulae;Pseudomonas sp. P5_109;Pseudomonas sp. FP2335;Pseudomonas sp. MPC6;Pseudomonas sp. CMR5c;Pseudomonas sp. WJP1	0.0020191036897082	1	10
63	host_removed_fraction;log10_bacterial_reads	Pseudomonas sichuanensis	0.0020580761288225	2	1
64	host_removed_fraction;log10_bacterial_reads	Pseudomonas knackmussii	0.0021612809703541	2	1
65	culture_p_aeruginosa	Pseudomonas sp. ADAK18;Pseudomonas taetrolens	0.0021612809703541	1	2
66	host_removed_fraction;log10_bacterial_reads	Pseudomonas piscis;Pseudomonas silesiensis;Pseudomonas sp. B22129;Pseudomonas lundensis	0.002265146998086	2	4
67	host_removed_fraction;log10_bacterial_reads	Buchnera aphidicola	0.0023024068889709	2	1
68	body_region_head_neck	Staphylococcus rostri;Staphylococcus coagulans;Staphylococcus sp. 17KM0847;Staphylococcus debuckii;Staphylococcus sp. FSL W8-0305;Staphylococcus lloydii;Staphylococcus gallinarum;Staphylococcus sp. IVB6181;Staphylococcus lutrae;Staphylococcus auricularis;Staphylococcus devriesei;Staphylococcus agnetis;Staphylococcus carnosus;Staphylococcus ratti	0.0023675598944138	1	14
69	chronicity_group_unknown;clinical_infection_flag_unknown	Serratia sp. UGAL515B_01;Serratia sp. FGI94;Serratia sp. JSRIV001;Serratia sp. HRI;Serratia sarumanii;Serratia sp. JSRIV002;Serratia sp. szju;Serratia sp. P2ACOL2;Serratia sp. Tan611;Serratia sp. JKS000199;Serratia nematodiphila;Serratia sp. SSNIH1;Serratia sp. LS-1;Serratia sp. CMO1;Serratia sp. 3ACOL1;Serratia ficaria	0.0024208252551628	2	16
70	host_removed_fraction;log10_bacterial_reads	Pseudomonas sediminis	0.0024208252551628	2	1
71	host_removed_fraction;log10_bacterial_reads	Pseudomonas sp. KHPS1	0.0024504179702429	2	1
72	log10_bacterial_reads	Pseudomonas sp. NA-150;Pseudomonas asiatica;Pseudomonas baltica;Pseudomonas huanghezhanensis;Pseudomonas sp. G.S.17;Pseudomonas sp. LRP2-20	0.0024641766232587	1	6
73	host_removed_fraction;log10_bacterial_reads	Pseudomonas fulva	0.0024966110710285	2	1
74	log10_bacterial_reads	Brevibacterium luteolum;Brevibacterium sp. CS2;Auritidibacter ignavus;Dermabacter jinjuensis;Alcaligenes faecalis;Streptococcus agalactiae;Pseudomonas sp. LM12	0.0025345689955465	1	7
75	culture_p_aeruginosa	Gordonia sp. w5E2;Gordonia bronchialis	0.0028249521160801	1	2
76	culture_p_aeruginosa	Pseudomonas trivialis;Pseudomonas seleniipraecipitans;Pseudomonas marincola;Pseudomonas parafulva;Pseudomonas berkeleyensis;Pseudomonas mosselii;Pseudomonas batumici;Pseudomonas sp. p1(2021b);Pseudomonas sp. MH9.2	0.0028317526697289	1	9
77	chronicity_group_acute_like;culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas fulva	0.002858058682075	3	1
78	host_removed_fraction;log10_bacterial_reads	Pseudomonas promysalinigenes	0.0028596388875321	2	1
79	host_removed_fraction;log10_bacterial_reads	Pseudomonas sp. 7SR1;Pseudomonas sp. TUM22785;Pseudomonas sp. JQ170C	0.0029113248040714	2	3
80	culture_p_aeruginosa	Pseudomonas sp. B21-028	0.0029113248040714	1	1
81	host_removed_fraction;log10_bacterial_reads	Proteus mirabilis	0.0030281640825075	2	1
82	host_removed_fraction;log10_bacterial_reads	Pseudomonas sp. MM211;Pseudomonas muyukensis;Pseudomonas sp. Ost2;Pseudomonas kielensis;Pseudomonas leptonychotis;Pseudomonas extremaustralis;Pseudomonas sp. M30-35;Pseudomonas abieticivorans	0.0030281640825075	2	8
83	chronicity_group_unknown;clinical_infection_flag_unknown	Mammaliicoccus sciuri	0.0031072233930294	2	1
84	culture_klebsiella_spp	Pseudomonas amygdali	0.0031072233930294	1	1
85	culture_p_aeruginosa	Pseudomonas sp. M1	0.0031072233930294	1	1
86	log10_bacterial_reads	Pseudomonas sp. DR48;Pseudomonas sp. JDS08PS003;Pseudomonas lini;Pseudomonas thivervalensis;Pseudomonas sp. MYb327;Pseudomonas sp. ADAK13;Pseudomonas sp. URMO17WK12:I11	0.0031072233930294	1	7
87	culture_p_aeruginosa	Pseudomonas syringae group genomosp. 7;Pseudomonas sp. Z8(2022);Pseudomonas canadensis;Pseudomonas sp. REST10;Pseudomonas sp. FP2309	0.0031072233930294	1	5
88	log10_bacterial_reads	Pseudomonas nitroreducens;Pseudomonas benzenivorans;Pseudomonas entomophila;Pseudomonas sp. SO81;Pseudomonas sp. 273;Pseudomonas protegens	0.0031916029548161	1	6
89	host_removed_fraction;log10_bacterial_reads	Bordetella hinzii;Bordetella bronchiseptica;Achromobacter sp. EB05;Achromobacter deleyi;Achromobacter spanius;Achromobacter denitrificans;Dermabacter hominis	0.0033960241338711	2	7
90	culture_e_faecalis	Pectobacterium brasiliense	0.0033960241338711	1	1
91	log10_bacterial_reads	Pseudomonas sp. Q1-7;Pseudomonas triclosanedens	0.0033960241338711	1	2
92	culture_e_faecalis	Xanthomonas citri;Ectopseudomonas oleovorans	0.0033960241338711	1	2
93	culture_p_aeruginosa	Pseudomonas sp. HR96	0.0034520458977535	1	1
94	culture_p_aeruginosa;chronicity_group_chronic_like	Pseudomonas chlororaphis	0.0034520458977535	2	1
95	log10_bacterial_reads	Pseudomonas syringae group genomosp. 7;Pseudomonas sp. Z8(2022);Pseudomonas canadensis;Pseudomonas sp. REST10;Pseudomonas sp. FP2309	0.0034520458977535	1	5
96	culture_p_aeruginosa	Pseudomonas serboccidentalis;Pseudomonas sp. B21-056;Pseudomonas versuta	0.003551110203357	1	3
97	host_removed_fraction;log10_bacterial_reads	Pseudomonas monteilii;Pseudomonas antarctica	0.003551110203357	2	2
